Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Collection_time,colony_height_m,colony_width1,colony_width2,concatenated_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,field_host_genus_id,field_host_species_id,FileName_Forward,FileName_Reverse,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,individual_sample_name,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,parent_colony,Platform,ReleaseDate,create_date,version,Sample Name,sampling_reef_name_detail,sampling_reef_name,SRA Study,status,Substrate,tag_color,tag_number,temperature,Transplant_YN,Transplantation_status,Transplanted_from,transplanted_to,visibility_m,survivorship
SRR12022448,AMPLICON,502,25418268,PRJNA639618,SAMN15241427,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17113485,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:44:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554512,Orbicella,faveolata,C-898_S68_L001_R1_001.fastq.gz,C-898_S68_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.R15.pos.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R15.pos.20170501.T.C898,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_11,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C898,Rosario,Rosario,SRP267486,Varadero_Rosario,transplant_platform,yellow,15,12,y,posttransplantation,Varadero,Rosario,29,alive
SRR12022449,AMPLICON,502,30126024,PRJNA639618,SAMN15241426,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20606603,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:42:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554511,Orbicella,faveolata,C-897_S67_L001_R1_001.fastq.gz,C-897_S67_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.R24.pos.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R24.pos.20170501.T.C897,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_21,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C897,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,24,12,y,posttransplantation,Rosario,Rosario,29,alive
SRR12022450,AMPLICON,502,16496724,PRJNA639618,SAMN15241425,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",11243613,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:39:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554510,Orbicella,faveolata,C-896_S66_L001_R1_001.fastq.gz,C-896_S66_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R19.pos.20170501.T.C896,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_16,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C896,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,19,12,y,posttransplantation,Rosario,Rosario,29,alive
SRR12022459,AMPLICON,502,16932962,PRJNA639618,SAMN15241417,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",11270891,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:18:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554501,Orbicella,faveolata,C-888_S59_L001_R1_001.fastq.gz,C-888_S59_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R49.pos.20170501.T.C888,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_46,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C888,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,49,12.3,y,posttransplantation,Rosario,Rosario,25,alive
SRR12022460,AMPLICON,502,26349980,PRJNA639618,SAMN15241416,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17483306,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:14:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554500,Orbicella,faveolata,C-887_S58_L001_R1_001.fastq.gz,C-887_S58_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R29.pos.20170501.T.C887,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_26,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C887,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,29,12.3,y,posttransplantation,Rosario,Rosario,25,alive
SRR12022461,AMPLICON,502,25777700,PRJNA639618,SAMN15241415,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17150684,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:10:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554499,Orbicella,faveolata,C-886_S173_L001_R1_001.fastq.gz,C-886_S173_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R54.pos.20170501.T.C886,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_51,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C886,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,54,12.3,y,posttransplantation,Rosario,Rosario,25,alive
SRR12022462,AMPLICON,502,33870944,PRJNA639618,SAMN15241414,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",22441499,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:06:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554498,Orbicella,faveolata,C-884_S172_L001_R1_001.fastq.gz,C-884_S172_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R64.pos.20170501.T.C884,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_61,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C884,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,64,12.3,y,posttransplantation,Rosario,Rosario,25,alive
SRR12022463,AMPLICON,302,10040594,PRJNA639618,SAMN15241180,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",3527540,THE PENNSYLVANIA STATE UNIVERSITY,2016-10-14,1904-01-01T10:00:00,1,4,5,20161014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.5,coral reef,not applicable,tissue,SRX8554497,Orbicella,faveolata,C627_S261_L001_R1_001.fastq.gz,C627_S261_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef\, transplant platform",Orbicella faveolata,E18.Orbi.fav.V65.pre.20161014.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E18.Orbi.fav.V65.pre.20161014.T.C627,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_61,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C627,Varadero,Varadero,SRP267486,Varadero_pretransplantation,transplant_platform,yellow,65,30,y,pretransplantation,Varadero,pretransplantation,10,alive
SRR12022464,AMPLICON,502,41822624,PRJNA639618,SAMN15241413,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",27985722,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:05:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554496,Orbicella,faveolata,C-883_S171_L001_R1_001.fastq.gz,C-883_S171_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R69.pos.20170501.T.C883,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_66,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C883,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,69,12.3,y,posttransplantation,Rosario,Rosario,25,alive
SRR12022465,AMPLICON,502,33949256,PRJNA639618,SAMN15241412,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",22955013,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:03:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554495,Orbicella,faveolata,C-882_S57_L001_R1_001.fastq.gz,C-882_S57_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R74.pos.20170501.T.C882,PAIRED,PCR,GENOMIC,coral metagenome,Rosario_71,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C882,Rosario,Rosario,SRP267486,Rosario_Rosario,transplant_platform,orange,74,12.3,y,posttransplantation,Rosario,Rosario,25,alive
SRR12022466,AMPLICON,502,36242894,PRJNA639618,SAMN15241411,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",24382278,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T09:00:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554494,Orbicella,faveolata,C-881_S56_L001_R1_001.fastq.gz,C-881_S56_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R50.pos.20170501.T.C881,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_46,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C881,Rosario,Rosario,SRP267486,Varadero_Rosario,transplant_platform,yellow,50,12.3,y,posttransplantation,Varadero,Rosario,25,alive
SRR12022467,AMPLICON,502,26156208,PRJNA639618,SAMN15241410,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17441009,THE PENNSYLVANIA STATE UNIVERSITY,2017-05-01,1904-01-01T08:57:00,1,3,5,20170501,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",30,coral reef,not applicable,tissue,SRX8554493,Orbicella,faveolata,C-880_S156_L001_R1_001.fastq.gz,C-880_S156_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Rosario reef\, transplant platform",Orbicella faveolata,E19.Orbi.fav.Rio.20170501.T,Illumina MiSeq,not applicable,not applicable,10.1866944 N 75.7452778 W,E19.Orbi.fav.R75.pos.20170501.T.C880,PAIRED,PCR,GENOMIC,coral metagenome,Varadero_71,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C880,Rosario,Rosario,SRP267486,Varadero_Rosario,transplant_platform,yellow,75,12.3,y,posttransplantation,Varadero,Rosario,25,alive
SRR12022471,AMPLICON,502,25652200,PRJNA639618,SAMN15241406,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",16904208,THE PENNSYLVANIA STATE UNIVERSITY,2017-04-30,1904-01-01T12:18:00,45,90,60,20170430,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",3.8,coral reef,not applicable,tissue,SRX8554489,Orbicella,faveolata,C-875_S170_L001_R1_001.fastq.gz,C-875_S170_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Orbicella faveolata,E19.Orbi.fav.Vro.20170430.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Orbi.fav.VNA.NA.20170430.T.C875,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C875,Varadero,Varadero,SRP267486,NA,Rubble,NA,NA,30,n,NA,NA,NA,14,NA
SRR12022472,AMPLICON,502,47224144,PRJNA639618,SAMN15241405,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",32152918,THE PENNSYLVANIA STATE UNIVERSITY,2017-04-30,1904-01-01T12:06:00,3,8,10,20170430,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4.4,coral reef,not applicable,tissue,SRX8554488,Siderastrea,siderea,C-874_S52_L001_R1_001.fastq.gz,C-874_S52_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Siderastrea siderea,E19.Side.sid.Vro.20170430.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Side.sid.VNA.NA.20170430.T.C874,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C874,Varadero,Varadero,SRP267486,NA,Rubble,NA,NA,30,n,NA,NA,NA,14,NA
SRR12022475,AMPLICON,502,32984412,PRJNA639618,SAMN15241403,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",21973131,THE PENNSYLVANIA STATE UNIVERSITY,2017-04-30,1904-01-01T11:40:00,8,14,11,20170430,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4.4,coral reef,not applicable,tissue,SRX8554485,Siderastrea,siderea,C-872_S51_L001_R1_001.fastq.gz,C-872_S51_L001_R2_001.fastq.gz,Colombia,South America,"Colombia: Cartagena\, Varadero reef",Siderastrea siderea,E19.Side.sid.Vro.20170430.T,Illumina MiSeq,not applicable,not applicable,10.3064722 N 75.5855556 W,E19.Side.sid.VNA.NA.20170430.T.C872,PAIRED,PCR,GENOMIC,coral metagenome,NA,ILLUMINA,2020-06-16T00:00:00Z,2020-06-16T10:37:00Z,1,C872,Varadero,Varadero,SRP267486,NA,Dead coral,NA,NA,30,n,NA,NA,NA,14,NA
